Date Range,28 Mar. 2017 - 27 Apr. 2017
Date & time,User,Campaign,Ad group,Changes
26/04/2017 11:09:48 AM,wme.cameron@gmail.com,Website,Promote - advertising my website,"1 phrase match keyword max. CPC increased
  ""how to advertise my website"": Max CPC changes increase from $19.00 to $22.00"
26/04/2017 11:09:42 AM,wme.cameron@gmail.com,Website,Promote - advertising my website,"1 phrase match keyword max. CPC increased
  ""advertise website for free"": Max CPC changes increase from $15.00 to $22.00"
26/04/2017 11:09:32 AM,wme.cameron@gmail.com,Website,Promote - advertising my website,"1 broad match keyword max. CPC increased
  +advertise +my +website: Max CPC changes increase from $16.00 to $25.00"
26/04/2017 11:09:25 AM,wme.cameron@gmail.com,Website,Promote - advertising my website,"1 phrase match keyword max. CPC increased
  ""advertising website"": Max CPC changes increase from $19.00 to $25.00"
26/04/2017 11:08:34 AM,wme.cameron@gmail.com,Website,Search Engine,"1 broad match keyword max. CPC increased
  +my +web site on +google: Max CPC changes increase from $32.00 to $37.00"
26/04/2017 11:08:25 AM,wme.cameron@gmail.com,Website,Search Engine,"1 broad match keyword max. CPC increased
  +my +website on +google: Max CPC changes increase from $47.00 to $50.00"
26/04/2017 11:06:56 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""traffic to your website"": Max CPC changes increase from $42.00 to $45.00"
26/04/2017 11:06:47 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""how to make your website appear on google"": Max CPC changes increase from $42.00 to $45.00"
26/04/2017 11:06:36 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC decreased
  ""your web site"": Max CPC changes decrease from $22.00 to $18.00"
26/04/2017 11:06:12 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""your website"": Max CPC changes increase from $39.00 to $40.00"
26/04/2017 10:22:00 AM,wme.cameron@gmail.com,Website,Website #2,"1 broad match keyword max. CPC increased
  how do i optimise my website for search engines: Max CPC changes increase from $29.00 to $32.00"
26/04/2017 10:21:51 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""traffic to your website"": Max CPC changes increase from $37.00 to $42.00"
26/04/2017 10:21:32 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""your website"": Max CPC changes increase from $38.00 to $39.00"
26/04/2017 10:21:27 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""+my +website"": Max CPC changes increase from $41.00 to $43.00"
26/04/2017 10:21:22 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""how to make your website appear on google"": Max CPC changes increase from $39.00 to $42.00"
26/04/2017 10:21:09 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC decreased
  ""your web site"": Max CPC changes decrease from $24.00 to $22.00"
26/04/2017 10:20:58 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC decreased
  ""my web site"": Max CPC changes decrease from $20.00 to $18.00"
26/04/2017 10:20:52 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC decreased
  ""my website"": Max CPC changes decrease from $30.00 to $28.00"
26/04/2017 9:55:29 AM,wme.cameron@gmail.com,Website,Promote - my web site,"1 phrase match keyword max. CPC decreased
  ""advertise my web site"": Max CPC changes decrease from $28.00 to $25.00"
26/04/2017 9:54:54 AM,wme.cameron@gmail.com,Website,Seen - website,"1 phrase match keyword max. CPC decreased
  ""get your website noticed"": Max CPC changes decrease from $22.00 to $17.00"
26/04/2017 9:52:21 AM,wme.cameron@gmail.com,Website,Page One,"1 broad match keyword max. CPC increased
  how to get on +google +first +page: Max CPC changes increase from $46.00 to $50.00"
21/04/2017 4:57:38 PM,wme.cameron@gmail.com,Website,Page One,"1 phrase match keyword max. CPC increased
  ""how to get on page one of google"": Max. CPC changed from default ($25.00) to $35.00"
21/04/2017 4:57:31 PM,wme.cameron@gmail.com,Website,Page One,"1 phrase match keyword max. CPC increased
  ""how to get on page 1 of google"": Max. CPC changed from default ($25.00) to $35.00"
21/04/2017 4:57:18 PM,wme.cameron@gmail.com,Website,Page One,"1 broad match keyword max. CPC increased
  how to get on +google +first +page: Max CPC changes increase from $44.00 to $46.00"
21/04/2017 2:15:12 PM,wme.cameron@gmail.com,Website,Promote - advertising my website,"1 phrase match keyword max. CPC decreased
  ""advertising web site"": Max CPC changes decrease from $12.00 to $11.00"
21/04/2017 2:13:30 PM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""how to promote a website"": Max CPC changes decrease from $29.00 to $27.00"
21/04/2017 2:13:22 PM,wme.cameron@gmail.com,Website,Promote - website,"1 broad match keyword max. CPC decreased
  +advertise +your +web site: Max CPC changes decrease from $26.00 to $24.00"
21/04/2017 2:13:17 PM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""promote your website"": Max CPC changes decrease from $29.00 to $27.00"
20/04/2017 11:14:40 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""promote your website"": Max CPC changes decrease from $29.75 to $29.00"
20/04/2017 11:14:36 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""promoting web site"": Max CPC changes decrease from $18.70 to $18.00"
20/04/2017 11:14:33 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""how to promote a website"": Max CPC changes decrease from $29.75 to $29.00"
20/04/2017 11:14:30 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""submit website to google"": Max CPC changes decrease from $27.20 to $27.00"
20/04/2017 11:14:26 AM,wme.cameron@gmail.com,Website,Promote - website,"1 broad match keyword max. CPC decreased
  +promote +your +web site: Max CPC changes decrease from $23.80 to $23.00"
20/04/2017 11:14:22 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""advertise your web site"": Max CPC changes decrease from $15.30 to $15.00"
20/04/2017 11:14:19 AM,wme.cameron@gmail.com,Website,Promote - website,"1 broad match keyword max. CPC decreased
  +promote +your +website: Max CPC changes decrease from $23.80 to $23.00"
20/04/2017 11:14:13 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""promoting a web site"": Max CPC changes decrease from $27.20 to $27.00"
20/04/2017 11:14:09 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""how to promote website"": Max CPC changes decrease from $15.30 to $15.00"
20/04/2017 11:14:06 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""promoting website"": Max CPC changes decrease from $17.85 to $17.00"
20/04/2017 11:14:03 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""how to promote your website"": Max CPC changes decrease from $26.35 to $26.00"
20/04/2017 11:14:00 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""promote your web site"": Max CPC changes decrease from $32.30 to $32.00"
20/04/2017 11:13:52 AM,wme.cameron@gmail.com,Website,Promote - website,"2 broad match keyword max. CPC decreased
  +promote +your +web site: Max CPC changes decrease from $28.00 to $23.80
  +promote +your +website: Max CPC changes decrease from $28.00 to $23.80
10 phrase match keyword max. CPC decreased
  ""advertise your web site"": Max CPC changes decrease from $18.00 to $15.30
  ""how to promote a website"": Max CPC changes decrease from $35.00 to $29.75
  ""how to promote website"": Max CPC changes decrease from $18.00 to $15.30
  ""how to promote your website"": Max CPC changes decrease from $31.00 to $26.35
  ""promote your web site"": Max CPC changes decrease from $38.00 to $32.30
  ""promote your website"": Max CPC changes decrease from $35.00 to $29.75
  ""promoting a web site"": Max CPC changes decrease from $32.00 to $27.20
  ""promoting web site"": Max CPC changes decrease from $22.00 to $18.70
  ""promoting website"": Max CPC changes decrease from $21.00 to $17.85
  ""submit website to google"": Max CPC changes decrease from $32.00 to $27.20"
19/04/2017 4:42:19 PM,wme.cameron@gmail.com,Website,Website #2,"16 phrase match keywords paused
  ""add reviews from other website to your website"": status changed from enabled to paused
  ""get your website"": status changed from enabled to paused
  ""good names to call your website"": status changed from enabled to paused
  ""how many visit my website"": status changed from enabled to paused
  ""how to add keywords to your website for google search"": status changed from enabled to paused
  ""how to find my website"": status changed from enabled to paused
  ""how to get more attention to your website"": status changed from enabled to paused
  ""how to get to the top of google search"": status changed from enabled to paused
  ""how to get your website first in google search"": status changed from enabled to paused
  ""how to have my website found"": status changed from enabled to paused
  ""how to make my website secured"": status changed from enabled to paused
  ""how to make your website on top of google search"": status changed from enabled to paused
  ""how to make your website popular for free"": status changed from enabled to paused
  ""how to make your website public"": status changed from enabled to paused
  ""how to quickly seo my website"": status changed from enabled to paused
  ""need my website redone"": status changed from enabled to paused"
19/04/2017 4:42:19 PM,wme.cameron@gmail.com,Website,Promote - website,"2 phrase match keywords paused
  ""promote your website free"": status changed from enabled to paused
  ""promotion website inspiration"": status changed from enabled to paused"
19/04/2017 4:42:19 PM,wme.cameron@gmail.com,Website,Promote - my web site,"1 phrase match keyword paused
  ""advertise my website in america"": status changed from enabled to paused"
19/04/2017 4:42:19 PM,wme.cameron@gmail.com,Website,Page One,"1 phrase match keyword paused
  ""how to get your website on first page of google"": status changed from enabled to paused"
19/04/2017 2:57:04 PM,wme.cameron@gmail.com,Website,Website #2,"1 negative exact match keyword added
  -[www izabellamassage com check the services on my website]"
19/04/2017 2:54:29 PM,wme.cameron@gmail.com,Website,Website #2,"4 negative exact match keywords added
  -[digitalbusinessold gov au digibiz2 creating your website planning building costs]
  -[most important part of your website]
  -[selling ms spreadsheet on your website]
  -[you on your website]"
19/04/2017 2:47:53 PM,wme.cameron@gmail.com,Website,Website #2,"1 negative exact match keyword added
  -[your we]"
19/04/2017 10:44:26 AM,wme.cameron@gmail.com,Brand - Seo Quote - Exact,Seo Quote - Exact,"1 phrase match keyword max. CPC decreased
  ""seo quote"": Max CPC changes decrease from $25.00 to $20.00"
19/04/2017 10:41:12 AM,wme.cameron@gmail.com,Website,Seen - make my website google,"1 phrase match keyword max. CPC decreased
  ""how to make my website appear on google"": Max CPC changes decrease from $35.00 to $33.00"
19/04/2017 10:11:25 AM,wme.cameron@gmail.com,Website,Promote - website,"1 broad match keyword max. CPC increased
  promote website on google: Max CPC changes increase from $46.00 to $48.00"
19/04/2017 10:11:18 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""+my +website"": Max CPC changes increase from $39.00 to $41.00"
19/04/2017 10:11:06 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC decreased
  ""my web site"": Max CPC changes decrease from $21.00 to $20.00"
19/04/2017 10:11:02 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC decreased
  ""your web site"": Max CPC changes decrease from $26.00 to $24.00"
19/04/2017 10:10:29 AM,wme.cameron@gmail.com,Website,Promote - website,"1 broad match keyword max. CPC increased
  +advertise +your +web site: Max CPC changes increase from $24.00 to $26.00"
19/04/2017 10:10:14 AM,wme.cameron@gmail.com,Website,Promote - advertising my website,"1 phrase match keyword max. CPC increased
  ""how to advertise my website"": Max CPC changes increase from $15.00 to $19.00"
19/04/2017 10:09:58 AM,wme.cameron@gmail.com,Website,Website #2,"1 broad match keyword max. CPC increased
  how do i optimise my website for search engines: Max CPC changes increase from $25.00 to $29.00"
19/04/2017 10:09:44 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""traffic to your website"": Max CPC changes increase from $35.00 to $37.00"
19/04/2017 10:09:20 AM,wme.cameron@gmail.com,Website,Promote - advertising my website,"1 broad match keyword max. CPC increased
  +advertise +my +website: Max CPC changes increase from $12.00 to $16.00"
19/04/2017 10:08:57 AM,wme.cameron@gmail.com,Website,Promote - advertising my website,"1 phrase match keyword max. CPC increased
  ""advertising website"": Max CPC changes increase from $13.00 to $19.00"
19/04/2017 10:07:58 AM,wme.cameron@gmail.com,Website,Promote - website,"1 broad match keyword max. CPC increased
  promote website on google: Max CPC changes increase from $42.00 to $46.00"
19/04/2017 10:07:51 AM,wme.cameron@gmail.com,Website,Search Engine,"1 broad match keyword max. CPC decreased
  +my +web site on +google: Max CPC changes decrease from $36.00 to $32.00"
19/04/2017 10:07:41 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""how to make your website appear on google"": Max CPC changes increase from $37.00 to $39.00"
19/04/2017 10:07:23 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""+my +website"": Max CPC changes increase from $35.00 to $39.00"
19/04/2017 10:07:13 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""your website"": Max CPC changes increase from $36.00 to $38.00"
18/04/2017 9:49:22 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""submit website to google"": Max CPC changes decrease from $36.00 to $32.00"
18/04/2017 9:49:11 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""how to promote a website"": Max CPC changes decrease from $40.00 to $35.00"
18/04/2017 9:49:05 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""promoting web site"": Max CPC changes decrease from $26.00 to $22.00"
18/04/2017 9:48:58 AM,wme.cameron@gmail.com,Website,Promote - website,"1 broad match keyword max. CPC decreased
  +advertise +your +web site: Max CPC changes decrease from $28.00 to $24.00"
18/04/2017 9:48:52 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC decreased
  ""promote your website"": Max CPC changes decrease from $43.00 to $35.00"
13/04/2017 10:15:07 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC decreased
  ""your web site"": Max CPC changes decrease from $28.00 to $26.00"
13/04/2017 10:14:57 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC decreased
  ""my web site"": Max CPC changes decrease from $23.00 to $21.00"
13/04/2017 10:14:49 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""+my +website"": Max CPC changes increase from $32.00 to $35.00"
13/04/2017 10:14:39 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC decreased
  ""my website"": Max CPC changes decrease from $31.00 to $30.00"
13/04/2017 10:14:31 AM,wme.cameron@gmail.com,Website,Website #2,"1 phrase match keyword max. CPC increased
  ""your website"": Max CPC changes increase from $35.00 to $36.00"
12/04/2017 11:36:24 AM,wme.cameron@gmail.com,Website,SEO,"1 phrase match keyword max. CPC increased
  ""seo web site"": Max CPC changes increase from $38.00 to $40.00"
12/04/2017 11:36:17 AM,wme.cameron@gmail.com,Website,SEO,"1 phrase match keyword max. CPC decreased
  ""how to do seo for my website"": Max CPC changes decrease from $20.00 to $18.00"
12/04/2017 11:36:08 AM,wme.cameron@gmail.com,Website,SEO,"1 phrase match keyword max. CPC increased
  ""seo for my website"": Max CPC changes increase from $24.00 to $26.00"
12/04/2017 11:34:22 AM,wme.cameron@gmail.com,Website,Promote - my website,"1 broad match keyword max. CPC increased
  how to +promote +my +website: Max CPC changes increase from $32.00 to $38.00"
12/04/2017 11:34:16 AM,wme.cameron@gmail.com,Website,Promote - my website,"1 phrase match keyword max. CPC increased
  ""how to promote my website on google"": Max. CPC changed from default ($25.00) to $28.00"
12/04/2017 11:34:00 AM,wme.cameron@gmail.com,Website,Promote - my website,"1 broad match keyword max. CPC increased
  +promote +my +website: Max CPC changes increase from $46.00 to $50.00"
12/04/2017 11:33:27 AM,wme.cameron@gmail.com,Website,Promote - website,"1 broad match keyword max. CPC increased
  +advertise +your +web site: Max CPC changes increase from $20.00 to $28.00"
12/04/2017 11:33:18 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC increased
  ""how to promote a website"": Max CPC changes increase from $35.00 to $40.00"
12/04/2017 11:33:09 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC increased
  ""promoting web site"": Max CPC changes increase from $22.00 to $26.00"
12/04/2017 11:33:00 AM,wme.cameron@gmail.com,Website,Promote - website,"1 phrase match keyword max. CPC increased
  ""advertise your website"": Max CPC changes increase from $19.00 to $24.00"
12/04/2017 11:32:41 AM,wme.cameron@gmail.com,Website,Promote - website,"1 broad match keyword max. CPC increased
  promote website on google: Max CPC changes increase from $38.00 to $42.00"
12/04/2017 11:31:56 AM,wme.cameron@gmail.com,Website,Page One,"1 broad match keyword max. CPC increased
  how to get on +google +page +one: Max CPC changes increase from $39.00 to $43.00"
12/04/2017 11:31:47 AM,wme.cameron@gmail.com,Website,Page One,"1 broad match keyword max. CPC increased
  how to get on +google +page +1: Max CPC changes increase from $38.00 to $41.00"
12/04/2017 11:05:59 AM,wme.cameron@gmail.com,Website,Promote - advertising my website,"1 phrase match keyword max. CPC increased
  ""advertising website"": Max CPC changes increase from $9.00 to $13.00"
12/04/2017 11:04:26 AM,wme.cameron@gmail.com,Website,Search Engine,"1 phrase match keyword max. CPC increased
  ""how to get my website on google search"": Max CPC changes increase from $40.00 to $43.00"
